ENTIDAD,RIESGOS ASEGURADOS,RECLAMACIONES,nombre_hoja
Aguascalientes,280338,1480,ACCIDENTES PERSONALES
Baja California,1102875,7871,ACCIDENTES PERSONALES
Baja California Sur,174813,581,ACCIDENTES PERSONALES
Campeche,116966,257,ACCIDENTES PERSONALES
Coahuila,859601,4016,ACCIDENTES PERSONALES
Colima,149659,406,ACCIDENTES PERSONALES
Chiapas,345490,381,ACCIDENTES PERSONALES
Chihuahua,1043750,2062,ACCIDENTES PERSONALES
Distrito Federal,33055593,37984,ACCIDENTES PERSONALES
Durango,276416,733,ACCIDENTES PERSONALES
Guanajuato,1099724,4915,ACCIDENTES PERSONALES
Guerrero,728109,680,ACCIDENTES PERSONALES
Hidalgo,571928,1654,ACCIDENTES PERSONALES
Jalisco,1823518,10058,ACCIDENTES PERSONALES
Estado de México,3590483,14995,ACCIDENTES PERSONALES
Michoacán,566041,3232,ACCIDENTES PERSONALES
Morelos,375773,1727,ACCIDENTES PERSONALES
Nayarit,172238,1030,ACCIDENTES PERSONALES
Nuevo León,6855451,8694,ACCIDENTES PERSONALES
Oaxaca,384722,1149,ACCIDENTES PERSONALES
Puebla,1023539,5536,ACCIDENTES PERSONALES
Querétaro,636388,5087,ACCIDENTES PERSONALES
Quintana Roo,1083899,5651,ACCIDENTES PERSONALES
San Luis Potosí,464003,3203,ACCIDENTES PERSONALES
Sinaloa,818112,4478,ACCIDENTES PERSONALES
Sonora,1347339,3230,ACCIDENTES PERSONALES
Tabasco,373368,762,ACCIDENTES PERSONALES
Tamaulipas,776931,2411,ACCIDENTES PERSONALES
Tlaxcala,166980,549,ACCIDENTES PERSONALES
Veracruz,1123894,1739,ACCIDENTES PERSONALES
Yucatán,489439,2652,ACCIDENTES PERSONALES
Zacatecas,181885,353,ACCIDENTES PERSONALES
Extranjero,454,7854,ACCIDENTES PERSONALES
Total general,62059719,147410,ACCIDENTES PERSONALES
