ENTIDAD,RIESGOS ASEGURADOS,RECLAMACIONES,nombre_hoja
Aguascalientes,75,0,AGRÍCOLA
Baja California,170,83,AGRÍCOLA
Baja California Sur,19,11,AGRÍCOLA
Campeche,54,32,AGRÍCOLA
Coahuila,86,25,AGRÍCOLA
Colima,221,1,AGRÍCOLA
Chiapas,127,6,AGRÍCOLA
Chihuahua,293,20,AGRÍCOLA
Distrito Federal,148,75,AGRÍCOLA
Durango,98,14,AGRÍCOLA
Guanajuato,528,520,AGRÍCOLA
Guerrero,63,0,AGRÍCOLA
Hidalgo,116,0,AGRÍCOLA
Jalisco,632,166,AGRÍCOLA
Estado de México,15,4,AGRÍCOLA
Michoacán,477,92,AGRÍCOLA
Morelos,26,1,AGRÍCOLA
Nayarit,50,376,AGRÍCOLA
Nuevo León,55,1119,AGRÍCOLA
Oaxaca,233,58,AGRÍCOLA
Puebla,44,24,AGRÍCOLA
Querétaro,113,87,AGRÍCOLA
Quintana Roo,54,77,AGRÍCOLA
San Luis Potosí,194,762,AGRÍCOLA
Sinaloa,1480,1576,AGRÍCOLA
Sonora,145,770,AGRÍCOLA
Tabasco,54,2,AGRÍCOLA
Tamaulipas,763,746,AGRÍCOLA
Tlaxcala,213,2,AGRÍCOLA
Veracruz,419,170,AGRÍCOLA
Yucatán,1,11,AGRÍCOLA
Zacatecas,70,4,AGRÍCOLA
Extranjero,1773,228,AGRÍCOLA
Total general,8809,7062,AGRÍCOLA
