ENTIDAD,RIESGOS ASEGURADOS,RECLAMACIONES,nombre_hoja
Aguascalientes,311454,41140,AUTOMÓVILES
Baja California,1124954,99143,AUTOMÓVILES
Baja California Sur,151377,19193,AUTOMÓVILES
Campeche,111784,13790,AUTOMÓVILES
Coahuila,531074,82427,AUTOMÓVILES
Colima,145407,23025,AUTOMÓVILES
Chiapas,221853,31135,AUTOMÓVILES
Chihuahua,945219,118887,AUTOMÓVILES
Distrito Federal,3766290,550451,AUTOMÓVILES
Durango,197367,21640,AUTOMÓVILES
Guanajuato,749546,106026,AUTOMÓVILES
Guerrero,118513,27910,AUTOMÓVILES
Hidalgo,282037,53403,AUTOMÓVILES
Jalisco,1763109,364003,AUTOMÓVILES
Estado de México,1955213,376811,AUTOMÓVILES
Michoacán,417148,54027,AUTOMÓVILES
Morelos,363030,47201,AUTOMÓVILES
Nayarit,150668,21984,AUTOMÓVILES
Nuevo León,2225292,392082,AUTOMÓVILES
Oaxaca,184891,23823,AUTOMÓVILES
Puebla,1112833,96460,AUTOMÓVILES
Querétaro,904331,171172,AUTOMÓVILES
Quintana Roo,337746,57404,AUTOMÓVILES
San Luis Potosí,325862,57787,AUTOMÓVILES
Sinaloa,534099,93186,AUTOMÓVILES
Sonora,508802,65384,AUTOMÓVILES
Tabasco,252943,41922,AUTOMÓVILES
Tamaulipas,476883,59525,AUTOMÓVILES
Tlaxcala,102671,12937,AUTOMÓVILES
Veracruz,689668,99709,AUTOMÓVILES
Yucatán,532965,66694,AUTOMÓVILES
Zacatecas,148510,12041,AUTOMÓVILES
Extranjero,92201,2697,AUTOMÓVILES
Total general,21735740,3305019,AUTOMÓVILES
