ENTIDAD,RIESGOS ASEGURADOS,RECLAMACIONES,nombre_hoja
Aguascalientes,12,0,CASCOS AERONAVES
Baja California,359,1,CASCOS AERONAVES
Baja California Sur,66,14,CASCOS AERONAVES
Campeche,88,0,CASCOS AERONAVES
Coahuila,27,3,CASCOS AERONAVES
Colima,11,0,CASCOS AERONAVES
Chiapas,14,1,CASCOS AERONAVES
Chihuahua,38,1,CASCOS AERONAVES
Distrito Federal,2081,99,CASCOS AERONAVES
Durango,18,0,CASCOS AERONAVES
Guanajuato,38,2,CASCOS AERONAVES
Guerrero,45,12,CASCOS AERONAVES
Hidalgo,7,0,CASCOS AERONAVES
Jalisco,118,8,CASCOS AERONAVES
Estado de México,194,10,CASCOS AERONAVES
Michoacán,18,0,CASCOS AERONAVES
Morelos,4,0,CASCOS AERONAVES
Nayarit,4,0,CASCOS AERONAVES
Nuevo León,147,32,CASCOS AERONAVES
Oaxaca,146,2,CASCOS AERONAVES
Puebla,33,0,CASCOS AERONAVES
Querétaro,31,1,CASCOS AERONAVES
Quintana Roo,88,0,CASCOS AERONAVES
San Luis Potosí,30,1,CASCOS AERONAVES
Sinaloa,82,20,CASCOS AERONAVES
Sonora,67,1,CASCOS AERONAVES
Tabasco,13,1,CASCOS AERONAVES
Tamaulipas,25,0,CASCOS AERONAVES
Tlaxcala,2,0,CASCOS AERONAVES
Veracruz,88,4,CASCOS AERONAVES
Yucatán,29,3,CASCOS AERONAVES
Zacatecas,4,0,CASCOS AERONAVES
Extranjero,88,3,CASCOS AERONAVES
Total general,4015,219,CASCOS AERONAVES
