ENTIDAD,RIESGOS ASEGURADOS,RECLAMACIONES,nombre_hoja
Aguascalientes,21,0,CASCOS EMBARCACIONES
Baja California,521,19,CASCOS EMBARCACIONES
Baja California Sur,1750,33,CASCOS EMBARCACIONES
Campeche,86,14,CASCOS EMBARCACIONES
Coahuila,35,5,CASCOS EMBARCACIONES
Colima,46,5,CASCOS EMBARCACIONES
Chiapas,233,0,CASCOS EMBARCACIONES
Chihuahua,57,1,CASCOS EMBARCACIONES
Distrito Federal,2540,19,CASCOS EMBARCACIONES
Durango,18,0,CASCOS EMBARCACIONES
Guanajuato,102,6,CASCOS EMBARCACIONES
Guerrero,149,61,CASCOS EMBARCACIONES
Hidalgo,6,14,CASCOS EMBARCACIONES
Jalisco,1299,17,CASCOS EMBARCACIONES
Estado de México,157,1,CASCOS EMBARCACIONES
Michoacán,53,2,CASCOS EMBARCACIONES
Morelos,23,0,CASCOS EMBARCACIONES
Nayarit,561,4,CASCOS EMBARCACIONES
Nuevo León,302,8,CASCOS EMBARCACIONES
Oaxaca,105,17,CASCOS EMBARCACIONES
Puebla,257,12,CASCOS EMBARCACIONES
Querétaro,59,2,CASCOS EMBARCACIONES
Quintana Roo,2468,23,CASCOS EMBARCACIONES
San Luis Potosí,37,1,CASCOS EMBARCACIONES
Sinaloa,796,12,CASCOS EMBARCACIONES
Sonora,730,9,CASCOS EMBARCACIONES
Tabasco,129,2,CASCOS EMBARCACIONES
Tamaulipas,102,7,CASCOS EMBARCACIONES
Veracruz,359,30,CASCOS EMBARCACIONES
Yucatán,766,13,CASCOS EMBARCACIONES
Zacatecas,3,0,CASCOS EMBARCACIONES
Extranjero,131,0,CASCOS EMBARCACIONES
Total general,13901,337,CASCOS EMBARCACIONES
