ENTIDAD,RIESGOS ASEGURADOS,RECLAMACIONES,nombre_hoja
Aguascalientes,3842,3,CRÉDITO A LA VIVIENDA
Baja California,11264,16,CRÉDITO A LA VIVIENDA
Baja California Sur,2318,3,CRÉDITO A LA VIVIENDA
Campeche,1136,1,CRÉDITO A LA VIVIENDA
Coahuila,5224,9,CRÉDITO A LA VIVIENDA
Colima,1684,7,CRÉDITO A LA VIVIENDA
Chiapas,1914,5,CRÉDITO A LA VIVIENDA
Chihuahua,7993,4,CRÉDITO A LA VIVIENDA
Distrito Federal,18716,33,CRÉDITO A LA VIVIENDA
Durango,1322,1,CRÉDITO A LA VIVIENDA
Guanajuato,8417,13,CRÉDITO A LA VIVIENDA
Guerrero,2046,8,CRÉDITO A LA VIVIENDA
Hidalgo,2540,5,CRÉDITO A LA VIVIENDA
Jalisco,17431,31,CRÉDITO A LA VIVIENDA
Estado de México,15787,42,CRÉDITO A LA VIVIENDA
Michoacán,4074,8,CRÉDITO A LA VIVIENDA
Morelos,2568,8,CRÉDITO A LA VIVIENDA
Nayarit,2083,3,CRÉDITO A LA VIVIENDA
Nuevo León,16730,21,CRÉDITO A LA VIVIENDA
Oaxaca,1178,0,CRÉDITO A LA VIVIENDA
Puebla,7975,28,CRÉDITO A LA VIVIENDA
Querétaro,9919,20,CRÉDITO A LA VIVIENDA
Quintana Roo,8073,27,CRÉDITO A LA VIVIENDA
San Luis Potosí,5567,5,CRÉDITO A LA VIVIENDA
Sinaloa,7478,17,CRÉDITO A LA VIVIENDA
Sonora,6168,8,CRÉDITO A LA VIVIENDA
Tabasco,2344,10,CRÉDITO A LA VIVIENDA
Tamaulipas,5111,21,CRÉDITO A LA VIVIENDA
Tlaxcala,517,0,CRÉDITO A LA VIVIENDA
Veracruz,7756,31,CRÉDITO A LA VIVIENDA
Yucatán,4772,6,CRÉDITO A LA VIVIENDA
Zacatecas,662,0,CRÉDITO A LA VIVIENDA
Total general,194609,394,CRÉDITO A LA VIVIENDA
