ENTIDAD,RIESGOS ASEGURADOS,RECLAMACIONES,nombre_hoja
Aguascalientes,73343,1334,DIVERSOS MISCELÁNEOS
Baja California,242309,2890,DIVERSOS MISCELÁNEOS
Baja California Sur,57417,473,DIVERSOS MISCELÁNEOS
Campeche,24417,452,DIVERSOS MISCELÁNEOS
Coahuila,164065,1670,DIVERSOS MISCELÁNEOS
Colima,35632,465,DIVERSOS MISCELÁNEOS
Chiapas,76723,877,DIVERSOS MISCELÁNEOS
Chihuahua,192979,2358,DIVERSOS MISCELÁNEOS
Distrito Federal,2525032,42262,DIVERSOS MISCELÁNEOS
Durango,53935,620,DIVERSOS MISCELÁNEOS
Guanajuato,197186,2686,DIVERSOS MISCELÁNEOS
Guerrero,56624,2526,DIVERSOS MISCELÁNEOS
Hidalgo,79877,1054,DIVERSOS MISCELÁNEOS
Jalisco,401768,6462,DIVERSOS MISCELÁNEOS
Estado de México,1369347,9856,DIVERSOS MISCELÁNEOS
Michoacán,123925,1344,DIVERSOS MISCELÁNEOS
Morelos,76071,1204,DIVERSOS MISCELÁNEOS
Nayarit,61500,555,DIVERSOS MISCELÁNEOS
Nuevo León,620415,15293,DIVERSOS MISCELÁNEOS
Oaxaca,60006,630,DIVERSOS MISCELÁNEOS
Puebla,169171,2990,DIVERSOS MISCELÁNEOS
Querétaro,151586,1985,DIVERSOS MISCELÁNEOS
Quintana Roo,117283,2035,DIVERSOS MISCELÁNEOS
San Luis Potosí,86329,1171,DIVERSOS MISCELÁNEOS
Sinaloa,125434,2181,DIVERSOS MISCELÁNEOS
Sonora,168372,2178,DIVERSOS MISCELÁNEOS
Tabasco,62993,1114,DIVERSOS MISCELÁNEOS
Tamaulipas,136182,1271,DIVERSOS MISCELÁNEOS
Tlaxcala,26281,360,DIVERSOS MISCELÁNEOS
Veracruz,206706,2889,DIVERSOS MISCELÁNEOS
Yucatán,83373,1086,DIVERSOS MISCELÁNEOS
Zacatecas,50206,239,DIVERSOS MISCELÁNEOS
Extranjero,3636,2150,DIVERSOS MISCELÁNEOS
Total general,7880123,116660,DIVERSOS MISCELÁNEOS
