ENTIDAD,RIESGOS ASEGURADOS,RECLAMACIONES,nombre_hoja
Aguascalientes,7349,833,DIVERSOS RAMOS TÉCNICOS
Baja California,37396,754,DIVERSOS RAMOS TÉCNICOS
Baja California Sur,9011,152,DIVERSOS RAMOS TÉCNICOS
Campeche,2697,110,DIVERSOS RAMOS TÉCNICOS
Coahuila,23655,944,DIVERSOS RAMOS TÉCNICOS
Colima,5809,258,DIVERSOS RAMOS TÉCNICOS
Chiapas,8942,274,DIVERSOS RAMOS TÉCNICOS
Chihuahua,28664,685,DIVERSOS RAMOS TÉCNICOS
Distrito Federal,171256,7890,DIVERSOS RAMOS TÉCNICOS
Durango,7394,492,DIVERSOS RAMOS TÉCNICOS
Guanajuato,27520,790,DIVERSOS RAMOS TÉCNICOS
Guerrero,8001,410,DIVERSOS RAMOS TÉCNICOS
Hidalgo,10361,262,DIVERSOS RAMOS TÉCNICOS
Jalisco,66661,2537,DIVERSOS RAMOS TÉCNICOS
Estado de México,78095,2448,DIVERSOS RAMOS TÉCNICOS
Michoacán,20111,348,DIVERSOS RAMOS TÉCNICOS
Morelos,11702,243,DIVERSOS RAMOS TÉCNICOS
Nayarit,7858,185,DIVERSOS RAMOS TÉCNICOS
Nuevo León,91249,6822,DIVERSOS RAMOS TÉCNICOS
Oaxaca,7025,174,DIVERSOS RAMOS TÉCNICOS
Puebla,23878,515,DIVERSOS RAMOS TÉCNICOS
Querétaro,20942,530,DIVERSOS RAMOS TÉCNICOS
Quintana Roo,15483,696,DIVERSOS RAMOS TÉCNICOS
San Luis Potosí,12879,320,DIVERSOS RAMOS TÉCNICOS
Sinaloa,16949,542,DIVERSOS RAMOS TÉCNICOS
Sonora,34174,1225,DIVERSOS RAMOS TÉCNICOS
Tabasco,7659,442,DIVERSOS RAMOS TÉCNICOS
Tamaulipas,14890,625,DIVERSOS RAMOS TÉCNICOS
Tlaxcala,3418,76,DIVERSOS RAMOS TÉCNICOS
Veracruz,23352,836,DIVERSOS RAMOS TÉCNICOS
Yucatán,15185,907,DIVERSOS RAMOS TÉCNICOS
Zacatecas,5750,68,DIVERSOS RAMOS TÉCNICOS
Extranjero,311,2488,DIVERSOS RAMOS TÉCNICOS
Total general,825626,35881,DIVERSOS RAMOS TÉCNICOS
