ENTIDAD,RIESGOS ASEGURADOS,RECLAMACIONES,nombre_hoja
Aguascalientes,21725,573,FENÓMENOS HIDROMETEOROLÓGICOS
Baja California,106677,480,FENÓMENOS HIDROMETEOROLÓGICOS
Baja California Sur,30174,733,FENÓMENOS HIDROMETEOROLÓGICOS
Campeche,10004,14,FENÓMENOS HIDROMETEOROLÓGICOS
Coahuila,64013,742,FENÓMENOS HIDROMETEOROLÓGICOS
Colima,16499,63,FENÓMENOS HIDROMETEOROLÓGICOS
Chiapas,25882,66,FENÓMENOS HIDROMETEOROLÓGICOS
Chihuahua,73181,144,FENÓMENOS HIDROMETEOROLÓGICOS
Distrito Federal,632141,1008,FENÓMENOS HIDROMETEOROLÓGICOS
Durango,18829,35,FENÓMENOS HIDROMETEOROLÓGICOS
Guanajuato,82964,89,FENÓMENOS HIDROMETEOROLÓGICOS
Guerrero,22435,11765,FENÓMENOS HIDROMETEOROLÓGICOS
Hidalgo,31315,99,FENÓMENOS HIDROMETEOROLÓGICOS
Jalisco,181028,452,FENÓMENOS HIDROMETEOROLÓGICOS
Estado de México,186523,312,FENÓMENOS HIDROMETEOROLÓGICOS
Michoacán,47360,36,FENÓMENOS HIDROMETEOROLÓGICOS
Morelos,27505,57,FENÓMENOS HIDROMETEOROLÓGICOS
Nayarit,20380,101,FENÓMENOS HIDROMETEOROLÓGICOS
Nuevo León,407292,941,FENÓMENOS HIDROMETEOROLÓGICOS
Oaxaca,19636,35,FENÓMENOS HIDROMETEOROLÓGICOS
Puebla,62994,158,FENÓMENOS HIDROMETEOROLÓGICOS
Querétaro,60786,315,FENÓMENOS HIDROMETEOROLÓGICOS
Quintana Roo,46878,170,FENÓMENOS HIDROMETEOROLÓGICOS
San Luis Potosí,38973,47,FENÓMENOS HIDROMETEOROLÓGICOS
Sinaloa,50963,268,FENÓMENOS HIDROMETEOROLÓGICOS
Sonora,74463,146,FENÓMENOS HIDROMETEOROLÓGICOS
Tabasco,24834,97,FENÓMENOS HIDROMETEOROLÓGICOS
Tamaulipas,42958,157,FENÓMENOS HIDROMETEOROLÓGICOS
Tlaxcala,9548,14,FENÓMENOS HIDROMETEOROLÓGICOS
Veracruz,77070,235,FENÓMENOS HIDROMETEOROLÓGICOS
Yucatán,39442,76,FENÓMENOS HIDROMETEOROLÓGICOS
Zacatecas,16277,4,FENÓMENOS HIDROMETEOROLÓGICOS
Extranjero,1622,356,FENÓMENOS HIDROMETEOROLÓGICOS
Total general,2572371,19788,FENÓMENOS HIDROMETEOROLÓGICOS
