ENTIDAD,RIESGOS ASEGURADOS,RECLAMACIONES,nombre_hoja
Aguascalientes,187277,6267,GASTOS MÉDICOS
Baja California,382348,18394,GASTOS MÉDICOS
Baja California Sur,46157,1377,GASTOS MÉDICOS
Campeche,26539,845,GASTOS MÉDICOS
Coahuila,366357,21435,GASTOS MÉDICOS
Colima,31770,1178,GASTOS MÉDICOS
Chiapas,79105,1092,GASTOS MÉDICOS
Chihuahua,532930,16887,GASTOS MÉDICOS
Distrito Federal,6904765,307561,GASTOS MÉDICOS
Durango,53963,1602,GASTOS MÉDICOS
Guanajuato,380341,22927,GASTOS MÉDICOS
Guerrero,26073,1086,GASTOS MÉDICOS
Hidalgo,48728,1844,GASTOS MÉDICOS
Jalisco,976151,62204,GASTOS MÉDICOS
Estado de México,919126,36639,GASTOS MÉDICOS
Michoacán,85965,7281,GASTOS MÉDICOS
Morelos,75240,2590,GASTOS MÉDICOS
Nayarit,36570,1081,GASTOS MÉDICOS
Nuevo León,1851490,89953,GASTOS MÉDICOS
Oaxaca,64835,738,GASTOS MÉDICOS
Puebla,288826,17116,GASTOS MÉDICOS
Querétaro,390122,25741,GASTOS MÉDICOS
Quintana Roo,123008,5571,GASTOS MÉDICOS
San Luis Potosí,528423,12075,GASTOS MÉDICOS
Sinaloa,147940,5630,GASTOS MÉDICOS
Sonora,207232,10492,GASTOS MÉDICOS
Tabasco,68538,3315,GASTOS MÉDICOS
Tamaulipas,267916,10780,GASTOS MÉDICOS
Tlaxcala,23776,616,GASTOS MÉDICOS
Veracruz,141226,4790,GASTOS MÉDICOS
Yucatán,155590,15348,GASTOS MÉDICOS
Zacatecas,23015,795,GASTOS MÉDICOS
Extranjero,336,11105,GASTOS MÉDICOS
Total general,15441678,726355,GASTOS MÉDICOS
