ENTIDAD,RIESGOS ASEGURADOS,RECLAMACIONES,nombre_hoja
Aguascalientes,26389,581,INCENDIO
Baja California,271627,963,INCENDIO
Baja California Sur,34428,166,INCENDIO
Campeche,12152,31,INCENDIO
Coahuila,77462,728,INCENDIO
Colima,20197,77,INCENDIO
Chiapas,33145,146,INCENDIO
Chihuahua,88955,749,INCENDIO
Distrito Federal,405905,4746,INCENDIO
Durango,22312,144,INCENDIO
Guanajuato,100386,423,INCENDIO
Guerrero,30054,537,INCENDIO
Hidalgo,36460,210,INCENDIO
Jalisco,216577,1223,INCENDIO
Estado de México,235071,1182,INCENDIO
Michoacán,58994,140,INCENDIO
Morelos,35894,212,INCENDIO
Nayarit,23936,146,INCENDIO
Nuevo León,440959,3588,INCENDIO
Oaxaca,25902,126,INCENDIO
Puebla,79784,316,INCENDIO
Querétaro,70621,713,INCENDIO
Quintana Roo,56457,536,INCENDIO
San Luis Potosí,46787,173,INCENDIO
Sinaloa,71142,357,INCENDIO
Sonora,92067,825,INCENDIO
Tabasco,31798,191,INCENDIO
Tamaulipas,57100,303,INCENDIO
Tlaxcala,11188,48,INCENDIO
Veracruz,103480,438,INCENDIO
Yucatán,50955,442,INCENDIO
Zacatecas,18203,37,INCENDIO
Extranjero,1891,1700,INCENDIO
Total general,2888278,22197,INCENDIO
