ENTIDAD,RIESGOS ASEGURADOS,RECLAMACIONES,nombre_hoja
Aguascalientes,65,1,PECUARIO
Baja California,14,14,PECUARIO
Baja California Sur,21,1,PECUARIO
Campeche,106,61,PECUARIO
Coahuila,141,6,PECUARIO
Colima,2,1,PECUARIO
Chiapas,111,38,PECUARIO
Chihuahua,84,4,PECUARIO
Distrito Federal,26,45,PECUARIO
Durango,24,10,PECUARIO
Guanajuato,38,6,PECUARIO
Guerrero,14,22,PECUARIO
Hidalgo,190,47,PECUARIO
Jalisco,55,15,PECUARIO
Estado de México,5,22,PECUARIO
Michoacán,124,55,PECUARIO
Morelos,9,10,PECUARIO
Nayarit,175,26,PECUARIO
Nuevo León,37,1,PECUARIO
Oaxaca,182,73,PECUARIO
Puebla,9,56,PECUARIO
Querétaro,212,68,PECUARIO
Quintana Roo,5,5,PECUARIO
San Luis Potosí,44,7,PECUARIO
Sinaloa,99,31,PECUARIO
Sonora,226,42,PECUARIO
Tabasco,56,14,PECUARIO
Tamaulipas,19,3,PECUARIO
Tlaxcala,33,6,PECUARIO
Veracruz,120,28,PECUARIO
Yucatán,230,92,PECUARIO
Zacatecas,31,13,PECUARIO
Extranjero,10,2,PECUARIO
Total general,2517,825,PECUARIO
