ENTIDAD,RIESGOS ASEGURADOS,RECLAMACIONES,nombre_hoja
Aguascalientes,12161,25303,PENSIONES
Baja California,34440,81848,PENSIONES
Baja California Sur,6973,15271,PENSIONES
Campeche,5803,13680,PENSIONES
Coahuila,38099,81388,PENSIONES
Colima,6353,14911,PENSIONES
Chiapas,12537,24895,PENSIONES
Chihuahua,43164,93306,PENSIONES
Distrito Federal,70586,193556,PENSIONES
Durango,16255,33304,PENSIONES
Guanajuato,50110,108117,PENSIONES
Guerrero,12179,25765,PENSIONES
Hidalgo,15706,34863,PENSIONES
Jalisco,68104,148361,PENSIONES
Estado de México,93169,225512,PENSIONES
Michoacán,27908,55280,PENSIONES
Morelos,11132,26359,PENSIONES
Nayarit,7984,16325,PENSIONES
Nuevo León,44679,105548,PENSIONES
Oaxaca,10717,23957,PENSIONES
Puebla,26121,58766,PENSIONES
Querétaro,17726,40688,PENSIONES
Quintana Roo,11187,24695,PENSIONES
San Luis Potosí,18939,44920,PENSIONES
Sinaloa,29472,62590,PENSIONES
Sonora,29534,64402,PENSIONES
Tabasco,11342,23424,PENSIONES
Tamaulipas,32226,75421,PENSIONES
Tlaxcala,6770,13731,PENSIONES
Veracruz,42795,96044,PENSIONES
Yucatán,13067,30514,PENSIONES
Zacatecas,11986,24406,PENSIONES
Extranjero,160,503,PENSIONES
Total general,839384,1907653,PENSIONES
