ENTIDAD,RIESGOS ASEGURADOS,RECLAMACIONES,nombre_hoja
Aguascalientes,67070,350,RESPONSABILIDAD CIVIL
Baja California,143197,1436,RESPONSABILIDAD CIVIL
Baja California Sur,42681,273,RESPONSABILIDAD CIVIL
Campeche,13189,109,RESPONSABILIDAD CIVIL
Coahuila,126350,1610,RESPONSABILIDAD CIVIL
Colima,30941,164,RESPONSABILIDAD CIVIL
Chiapas,38346,189,RESPONSABILIDAD CIVIL
Chihuahua,148389,1079,RESPONSABILIDAD CIVIL
Distrito Federal,673067,20056,RESPONSABILIDAD CIVIL
Durango,38198,175,RESPONSABILIDAD CIVIL
Guanajuato,177129,876,RESPONSABILIDAD CIVIL
Guerrero,30760,633,RESPONSABILIDAD CIVIL
Hidalgo,52331,407,RESPONSABILIDAD CIVIL
Jalisco,443144,4119,RESPONSABILIDAD CIVIL
Estado de México,278824,8111,RESPONSABILIDAD CIVIL
Michoacán,84616,275,RESPONSABILIDAD CIVIL
Morelos,43934,414,RESPONSABILIDAD CIVIL
Nayarit,38880,2038,RESPONSABILIDAD CIVIL
Nuevo León,431658,4636,RESPONSABILIDAD CIVIL
Oaxaca,32297,339,RESPONSABILIDAD CIVIL
Puebla,123369,1063,RESPONSABILIDAD CIVIL
Querétaro,103180,879,RESPONSABILIDAD CIVIL
Quintana Roo,151543,1627,RESPONSABILIDAD CIVIL
San Luis Potosí,79974,454,RESPONSABILIDAD CIVIL
Sinaloa,144032,3823,RESPONSABILIDAD CIVIL
Sonora,113046,891,RESPONSABILIDAD CIVIL
Tabasco,35852,319,RESPONSABILIDAD CIVIL
Tamaulipas,112854,972,RESPONSABILIDAD CIVIL
Tlaxcala,15779,97,RESPONSABILIDAD CIVIL
Veracruz,153640,1009,RESPONSABILIDAD CIVIL
Yucatán,81354,488,RESPONSABILIDAD CIVIL
Zacatecas,26085,37,RESPONSABILIDAD CIVIL
Extranjero,6461,480,RESPONSABILIDAD CIVIL
Total general,4082170,59428,RESPONSABILIDAD CIVIL
