ENTIDAD,RIESGOS ASEGURADOS,RECLAMACIONES,nombre_hoja
Aguascalientes,17515,6941,SALUD
Baja California,111690,73131,SALUD
Baja California Sur,9382,1667,SALUD
Campeche,7632,9105,SALUD
Coahuila,62505,11538,SALUD
Colima,6201,1535,SALUD
Chiapas,11770,3292,SALUD
Chihuahua,118666,15472,SALUD
Distrito Federal,4517125,455028,SALUD
Durango,11378,1189,SALUD
Guanajuato,53058,12568,SALUD
Guerrero,4340,1178,SALUD
Hidalgo,8676,3170,SALUD
Jalisco,172905,38359,SALUD
Estado de México,110180,49760,SALUD
Michoacán,18999,7469,SALUD
Morelos,13963,3244,SALUD
Nayarit,7851,2175,SALUD
Nuevo León,249146,86294,SALUD
Oaxaca,5545,2825,SALUD
Puebla,39635,11761,SALUD
Querétaro,73644,12789,SALUD
Quintana Roo,23961,4906,SALUD
San Luis Potosí,32826,4483,SALUD
Sinaloa,40658,14310,SALUD
Sonora,71671,51559,SALUD
Tabasco,23149,10627,SALUD
Tamaulipas,52255,6594,SALUD
Tlaxcala,2395,976,SALUD
Veracruz,27922,8083,SALUD
Yucatán,35083,7908,SALUD
Zacatecas,3472,679,SALUD
Total general,5945198,920615,SALUD
