ENTIDAD,RIESGOS ASEGURADOS,RECLAMACIONES,nombre_hoja
Aguascalientes,15054,28,TERREMOTO
Baja California,73736,55,TERREMOTO
Baja California Sur,19698,11,TERREMOTO
Campeche,6550,3,TERREMOTO
Coahuila,35232,24,TERREMOTO
Colima,13957,46,TERREMOTO
Chiapas,20279,157,TERREMOTO
Chihuahua,48063,20,TERREMOTO
Distrito Federal,462953,412,TERREMOTO
Durango,10636,6,TERREMOTO
Guanajuato,51870,27,TERREMOTO
Guerrero,18274,86,TERREMOTO
Hidalgo,22055,41,TERREMOTO
Jalisco,133947,83,TERREMOTO
Estado de México,154742,154,TERREMOTO
Michoacán,30929,18,TERREMOTO
Morelos,23640,104,TERREMOTO
Nayarit,15182,62,TERREMOTO
Nuevo León,130603,36,TERREMOTO
Oaxaca,14469,81,TERREMOTO
Puebla,51168,54,TERREMOTO
Querétaro,37981,17,TERREMOTO
Quintana Roo,30576,39,TERREMOTO
San Luis Potosí,26422,13,TERREMOTO
Sinaloa,35997,19,TERREMOTO
Sonora,40058,78,TERREMOTO
Tabasco,19608,119,TERREMOTO
Tamaulipas,24886,46,TERREMOTO
Tlaxcala,6360,40,TERREMOTO
Veracruz,54078,257,TERREMOTO
Yucatán,22389,7,TERREMOTO
Zacatecas,9479,2,TERREMOTO
Extranjero,146,61,TERREMOTO
Total general,1661017,2206,TERREMOTO
