ENTIDAD,RIESGOS ASEGURADOS,RECLAMACIONES,nombre_hoja
Aguascalientes,204,1334,TRANSPORTES DE MERCANCÍAS
Baja California,257,236,TRANSPORTES DE MERCANCÍAS
Baja California Sur,61,29,TRANSPORTES DE MERCANCÍAS
Campeche,18,32,TRANSPORTES DE MERCANCÍAS
Coahuila,420,318,TRANSPORTES DE MERCANCÍAS
Colima,53,148,TRANSPORTES DE MERCANCÍAS
Chiapas,144,98,TRANSPORTES DE MERCANCÍAS
Chihuahua,578,244,TRANSPORTES DE MERCANCÍAS
Distrito Federal,6200,6673,TRANSPORTES DE MERCANCÍAS
Durango,170,99,TRANSPORTES DE MERCANCÍAS
Guanajuato,1009,778,TRANSPORTES DE MERCANCÍAS
Guerrero,47,77,TRANSPORTES DE MERCANCÍAS
Hidalgo,161,213,TRANSPORTES DE MERCANCÍAS
Jalisco,1692,2535,TRANSPORTES DE MERCANCÍAS
Estado de México,2268,1793,TRANSPORTES DE MERCANCÍAS
Michoacán,374,333,TRANSPORTES DE MERCANCÍAS
Morelos,117,70,TRANSPORTES DE MERCANCÍAS
Nayarit,29,42,TRANSPORTES DE MERCANCÍAS
Nuevo León,1965,1935,TRANSPORTES DE MERCANCÍAS
Oaxaca,68,145,TRANSPORTES DE MERCANCÍAS
Puebla,578,1036,TRANSPORTES DE MERCANCÍAS
Querétaro,784,1110,TRANSPORTES DE MERCANCÍAS
Quintana Roo,135,63,TRANSPORTES DE MERCANCÍAS
San Luis Potosí,265,414,TRANSPORTES DE MERCANCÍAS
Sinaloa,313,240,TRANSPORTES DE MERCANCÍAS
Sonora,275,510,TRANSPORTES DE MERCANCÍAS
Tabasco,69,77,TRANSPORTES DE MERCANCÍAS
Tamaulipas,248,475,TRANSPORTES DE MERCANCÍAS
Tlaxcala,43,73,TRANSPORTES DE MERCANCÍAS
Veracruz,540,654,TRANSPORTES DE MERCANCÍAS
Yucatán,299,114,TRANSPORTES DE MERCANCÍAS
Zacatecas,46,66,TRANSPORTES DE MERCANCÍAS
Extranjero,56,591,TRANSPORTES DE MERCANCÍAS
Total general,19486,22555,TRANSPORTES DE MERCANCÍAS
