ENTIDAD,RIESGOS ASEGURADOS,RECLAMACIONES,nombre_hoja
Aguascalientes,539548,2626,VIDA
Baja California,1207689,5937,VIDA
Baja California Sur,309265,1826,VIDA
Campeche,292992,2179,VIDA
Coahuila,1165588,8133,VIDA
Colima,407717,2287,VIDA
Chiapas,820882,8159,VIDA
Chihuahua,1658275,7348,VIDA
Distrito Federal,44369076,57221,VIDA
Durango,732206,3954,VIDA
Guanajuato,2311976,11554,VIDA
Guerrero,538091,5769,VIDA
Hidalgo,804183,5145,VIDA
Jalisco,3533783,13413,VIDA
Estado de México,4748890,33395,VIDA
Michoacán,1551875,11133,VIDA
Morelos,621097,5312,VIDA
Nayarit,417920,2809,VIDA
Nuevo León,7298216,12659,VIDA
Oaxaca,743324,6040,VIDA
Puebla,1910437,10001,VIDA
Querétaro,1279616,15298,VIDA
Quintana Roo,582961,2977,VIDA
San Luis Potosí,956840,4510,VIDA
Sinaloa,4622479,7305,VIDA
Sonora,980617,6671,VIDA
Tabasco,605677,6424,VIDA
Tamaulipas,1178285,8662,VIDA
Tlaxcala,312415,3596,VIDA
Veracruz,1905816,22574,VIDA
Yucatán,661175,4762,VIDA
Zacatecas,388307,2549,VIDA
Extranjero,12915,8054,VIDA
Total general,89470133,310282,VIDA
