Estado,PIB_MXN,PIB_Porcentaje
Ciudad de México,4652611,14.64
Estado de México,2854429,8.98
Nuevo León,2536657,7.98
Jalisco,2359153,7.43
Guanajuato,1457908,4.59
Veracruz,1343593,4.23
Baja California,1233847,3.88
Coahuila,1215524,3.83
Chihuahua,1208697,3.8
Sonora,1118919,3.52
Puebla,1086962,3.42
Tamaulipas,928082,2.92
Michoacán,876341,2.76
Tabasco,792159,2.49
San Luis Potosí,783765,2.47
Querétaro,776909,2.45
Sinaloa,696686,2.19
Oaxaca,570204,1.79
Hidalgo,558203,1.76
Campeche,538346,1.69
Yucatán,505636,1.59
Quintana Roo,495759,1.56
Chiapas,482925,1.52
Aguascalientes,422764,1.33
Durango,407040,1.28
Guerrero,406410,1.28
Morelos,333754,1.05
Zacatecas,294882,0.93
Baja California Sur,233224,0.73
Nayarit,214501,0.68
Colima,199817,0.63
Tlaxcala,186670,0.59
México,31772377,100.0
